feedback_id,submitted_at,user_id,hotspot_id,location,metro,rating,category,feedback_text,platform,status,source,cleaned_text,token_count,dominant_topic,topic_confidence,topic_probabilities
FB0014,2026-04-06T00:46:50Z,USER093,H002,Somerset West,Cape Town,1,Safety Alerts,Several alerts appeared together instead of arriving in real time when residents needed immediate information. A delivery timestamp would help residents judge whether an alert is current.,iOS,resolved,mock,several alerts appeared together instead arriving real time residents needed immediate information delivery timestamp help residents judge whether alert current,20,topic_3,0.977776,"[0.002779, 0.002778, 0.977776, 0.002778, 0.002778, 0.002778, 0.002778, 0.002778, 0.002778]"
FB0015,2026-04-06T04:58:51Z,USER058,H004,Newlands,Cape Town,3,Application Performance,The application loads slowly when opening a busy community group during periods of heavy community activity. Please improve loading speed and automatic reconnection.,Web,resolved,mock,application loads slowly opening busy community group periods heavy community activity loading speed automatic reconnection,15,topic_7,0.420607,"[0.003704, 0.320127, 0.003704, 0.003704, 0.003704, 0.003704, 0.420607, 0.237043, 0.003704]"
FB0016,2026-04-06T12:31:34Z,USER117,H011,Waterkloof Ridge,Gauteng,2,Location Accuracy,The street name and map marker did not match causing unnecessary concern in another neighbourhood. Showing both the street and nearest landmark would improve accuracy.,Android,reviewed,mock,street name map marker match causing unnecessary concern another neighbourhood showing street nearest landmark accuracy,15,topic_6,0.970370,"[0.003704, 0.003704, 0.003704, 0.003704, 0.003704, 0.97037, 0.003704, 0.003704, 0.003704]"
FB0017,2026-04-06T20:28:07Z,USER161,H001,Rondebosch,Cape Town,4,Positive Experience,The location-based warnings are relevant and easy to understand and the information felt timely. Please continue improving the alert details.,iOS,resolved,mock,location based warnings relevant easy understand information felt timely continue improving alert details,13,topic_5,0.907311,"[0.004274, 0.004274, 0.004274, 0.004274, 0.907311, 0.004274, 0.062772, 0.004274, 0.004274]"
FB0018,2026-04-07T00:05:58Z,USER009,H014,Centurion Central,Gauteng,4,Community Chat,The chat helped residents share information about a recent concern when many residents post at the same time. Verified security updates should be visually distinct. This area mainly receives vehicle theft warnings.,Mobile Web,resolved,mock,chat helped residents share information recent concern many residents post time verified security updates visually distinct vehicle theft warnings,19,topic_2,0.421812,"[0.002925, 0.421812, 0.002926, 0.199467, 0.002926, 0.002924, 0.101587, 0.262508, 0.002925]"
FB0019,2026-04-07T02:53:13Z,USER104,H002,Somerset West,Cape Town,4,Positive Experience,The incident report was simple to submit and appeared quickly and the information felt timely. I would recommend this feature to other neighbourhood groups.,iOS,resolved,mock,incident report simple submit appeared quickly information felt timely recommend feature neighbourhood groups,13,topic_5,0.550217,"[0.004274, 0.004274, 0.374088, 0.004274, 0.550217, 0.004274, 0.050051, 0.004274, 0.004274]"
FB0020,2026-04-07T17:08:20Z,USER089,H007,Garsfontein,Gauteng,2,Privacy and Trust,Residents need confidence that private group messages remain private to build trust among community members. Please add a simple privacy notice near the submission form.,Web,reviewed,mock,residents need confidence private group messages remain private build trust among community members add simple privacy notice near submission form,20,topic_9,0.948783,"[0.002778, 0.002778, 0.002778, 0.002778, 0.002778, 0.002778, 0.031771, 0.002778, 0.948783]"
FB0021,2026-04-10T05:21:44Z,USER063,H001,Rondebosch,Cape Town,3,Privacy and Trust,I want clearer information about who can see my incident report to build trust among community members. Please add a simple privacy notice near the submission form.,iOS,new,mock,want clearer information see incident report build trust among community members add simple privacy notice near submission form,18,topic_9,0.939005,"[0.003087, 0.003087, 0.003087, 0.003087, 0.039388, 0.003087, 0.003087, 0.003086, 0.939005]"
FB0022,2026-04-10T09:21:24Z,USER101,H012,Menlo Park,Gauteng,4,Community Chat,Messages are easy to send but the conversation becomes cluttered when many residents post at the same time. Verified security updates should be visually distinct.,Mobile Web,new,mock,messages easy send conversation becomes cluttered many residents post time verified security updates visually distinct,15,topic_2,0.693639,"[0.003704, 0.693639, 0.046782, 0.237356, 0.003704, 0.003704, 0.003704, 0.003704, 0.003704]"
FB0023,2026-04-10T21:49:38Z,USER174,H011,Waterkloof Ridge,Gauteng,2,Application Performance,The interface becomes unresponsive after several alerts arrive which makes the service feel unreliable. A lightweight mobile mode would make the service more accessible.,iOS,reviewed,mock,interface becomes unresponsive several alerts arrive makes service feel unreliable lightweight mobile mode service accessible,15,topic_8,0.671554,"[0.003831, 0.003832, 0.003832, 0.301626, 0.003832, 0.003831, 0.003831, 0.671554, 0.003831]"
FB0024,2026-04-11T10:09:19Z,USER032,H010,Bedfordview,Gauteng,5,Positive Experience,Community alerts made it easier to avoid an affected route and the information felt timely. I would recommend this feature to other neighbourhood groups.,Android,new,mock,community alerts made easier avoid affected route information felt timely recommend feature neighbourhood groups,14,topic_5,0.622965,"[0.003968, 0.003969, 0.349254, 0.003969, 0.622965, 0.003968, 0.003969, 0.003968, 0.003968]"
FB0025,2026-04-12T15:50:06Z,USER036,H009,Fourways,Gauteng,4,Positive Experience,The incident report was simple to submit and appeared quickly without requiring technical knowledge. I would recommend this feature to other neighbourhood groups.,Mobile Web,resolved,mock,incident report simple submit appeared quickly without requiring technical knowledge recommend feature neighbourhood groups,14,topic_5,0.366605,"[0.003969, 0.003969, 0.319896, 0.003968, 0.366605, 0.003969, 0.003968, 0.289686, 0.003969]"
FB0026,2026-04-13T04:31:14Z,USER175,H001,Rondebosch,Cape Town,2,Location Accuracy,The location pin was too broad to identify the affected area which made the warning confusing. Allow reporters to adjust the pin before submitting.,iOS,reviewed,mock,location pin broad identify affected made warning confusing allow reporters adjust pin submitting,13,topic_5,0.518392,"[0.004274, 0.004274, 0.004274, 0.042683, 0.518392, 0.413284, 0.004274, 0.004274, 0.004274]"
FB0027,2026-04-13T09:56:35Z,USER047,H003,Bryanston,Gauteng,3,Location Accuracy,The alert location was missing a useful landmark and residents could not tell how close it was. Allow reporters to adjust the pin before submitting.,Web,new,mock,alert location missing useful landmark residents tell close allow reporters adjust pin submitting,13,topic_6,0.965810,"[0.004274, 0.004274, 0.004274, 0.004274, 0.004274, 0.96581, 0.004274, 0.004274, 0.004274]"
FB0028,2026-04-14T20:57:53Z,USER068,H010,Bedfordview,Gauteng,4,Privacy and Trust,I want clearer information about who can see my incident report because reports may contain personal details. Verified roles and clear retention rules would improve trust.,Android,resolved,mock,want clearer information see incident report reports may contain personal details verified roles clear retention rules trust,17,topic_9,0.973852,"[0.003268, 0.003268, 0.003268, 0.003268, 0.003269, 0.003268, 0.003269, 0.003268, 0.973852]"
FB0029,2026-04-15T01:33:59Z,USER017,H003,Bryanston,Gauteng,1,Safety Alerts,Important warnings sometimes disappear without being opened during a period of increased neighbourhood activity. Please make urgent notifications faster and more reliable.,Android,reviewed,mock,important warnings sometimes disappear without opened period increased neighbourhood activity urgent notifications faster reliable,14,topic_1,0.586608,"[0.586608, 0.003969, 0.385611, 0.003968, 0.003969, 0.003969, 0.003968, 0.003969, 0.003969]"
FB0030,2026-04-15T18:52:51Z,USER037,H003,Bryanston,Gauteng,3,Application Performance,Messages occasionally appear only after I refresh the browser which makes the service feel unreliable. Please improve loading speed and automatic reconnection. This area mainly receives home invasion warnings.,Android,new,mock,messages occasionally appear refresh browser makes service feel unreliable loading speed automatic reconnection home invasion warnings,16,topic_8,0.971319,"[0.003585, 0.003585, 0.003585, 0.003588, 0.003585, 0.003585, 0.003584, 0.971319, 0.003585]"
FB0031,2026-04-16T03:59:31Z,USER070,H013,Table View,Cape Town,5,Positive Experience,The location-based warnings are relevant and easy to understand while keeping the community informed. A weekly safety summary would make the service even more useful. This area mainly receives home invasion warnings.,iOS,reviewed,mock,location based warnings relevant easy understand keeping community informed weekly safety summary service even useful home invasion warnings,18,topic_5,0.554265,"[0.003176, 0.003175, 0.003176, 0.13202, 0.554265, 0.003176, 0.294662, 0.003175, 0.003176]"
FB0032,2026-04-17T17:18:28Z,USER036,H009,Fourways,Gauteng,2,Incident Reporting,The incident form takes too many steps to complete during a stressful situation. A clear confirmation screen would make reporting easier.,Web,resolved,mock,incident form takes many steps complete stressful situation clear confirmation screen reporting easier,13,topic_4,0.964439,"[0.004447, 0.004445, 0.004445, 0.964439, 0.004445, 0.004445, 0.004445, 0.004444, 0.004445]"
FB0033,2026-04-17T17:40:15Z,USER133,H005,Sea Point,Cape Town,2,Privacy and Trust,The application should explain how location information is stored because reports may contain personal details. Please add a simple privacy notice near the submission form.,iOS,reviewed,mock,application explain location information stored reports may contain personal details add simple privacy notice near submission form,17,topic_9,0.973853,"[0.003268, 0.003268, 0.003268, 0.003268, 0.003268, 0.003268, 0.00327, 0.003268, 0.973853]"
FB0034,2026-04-18T07:35:59Z,USER091,H014,Centurion Central,Gauteng,5,Positive Experience,The incident report was simple to submit and appeared quickly during a situation that could have caused confusion. Please continue improving the alert details. This area mainly receives vehicle theft warnings.,Mobile Web,new,mock,incident report simple submit appeared quickly situation caused confusion continue improving alert details vehicle theft warnings,16,topic_5,0.972220,"[0.003473, 0.003472, 0.003473, 0.003472, 0.97222, 0.003472, 0.003472, 0.003472, 0.003473]"
FB0035,2026-04-18T07:37:30Z,USER067,H013,Table View,Cape Town,1,Safety Alerts,Important warnings sometimes disappear without being opened during a period of increased neighbourhood activity. Critical warnings should be prioritised over ordinary updates. This area mainly receives home invasion warnings.,Android,reviewed,mock,important warnings sometimes disappear without opened period increased neighbourhood activity critical warnings prioritised ordinary updates home invasion warnings,18,topic_1,0.843560,"[0.84356, 0.003087, 0.104042, 0.003087, 0.033876, 0.003087, 0.003086, 0.003087, 0.003087]"
FB0036,2026-04-19T11:40:49Z,USER028,H012,Menlo Park,Gauteng,3,Application Performance,The page sometimes disconnects and takes too long to reconnect which makes the service feel unreliable. Please improve loading speed and automatic reconnection.,Web,reviewed,mock,page sometimes disconnects takes long reconnect makes service feel unreliable loading speed automatic reconnection,14,topic_8,0.539699,"[0.003969, 0.003968, 0.003968, 0.00397, 0.003968, 0.003968, 0.003968, 0.539699, 0.432521]"
FB0037,2026-04-19T18:19:50Z,USER055,H004,Newlands,Cape Town,2,Location Accuracy,The street name and map marker did not match which made the warning confusing. Allow reporters to adjust the pin before submitting. This area mainly receives home invasion warnings.,Android,resolved,mock,street name map marker match made warning confusing allow reporters adjust pin submitting home invasion warnings,16,topic_6,0.660717,"[0.003473, 0.003472, 0.003473, 0.110725, 0.207722, 0.660717, 0.003472, 0.003473, 0.003473]"
FB0038,2026-04-19T21:32:47Z,USER083,H008,Claremont,Cape Town,3,Incident Reporting,The reporting screen needs more incident categories during a stressful situation. Please save unfinished reports automatically. This area mainly receives home invasion warnings.,Android,resolved,mock,reporting screen needs incident categories stressful situation save unfinished reports automatically home invasion warnings,14,topic_1,0.925061,"[0.925061, 0.003968, 0.003969, 0.00397, 0.003969, 0.047153, 0.003968, 0.003969, 0.003972]"
FB0039,2026-04-20T05:18:37Z,USER040,H005,Sea Point,Cape Town,2,Privacy and Trust,Residents need confidence that private group messages remain private especially in private neighbourhood groups. Please add a simple privacy notice near the submission form. This area mainly receives vehicle theft warnings.,Mobile Web,reviewed,mock,residents need confidence private group messages remain private especially private neighbourhood groups add simple privacy notice near submission form vehicle theft warnings,22,topic_9,0.847255,"[0.002585, 0.002585, 0.134654, 0.002584, 0.002585, 0.002584, 0.002584, 0.002584, 0.847255]"
FB0040,2026-04-20T15:51:58Z,USER079,H013,Table View,Cape Town,2,Incident Reporting,The form cleared my description before the report was sent during a stressful situation. Please save unfinished reports automatically.,Mobile Web,reviewed,mock,form cleared description report sent stressful situation save unfinished reports automatically,11,topic_1,0.534569,"[0.534569, 0.005051, 0.005051, 0.005051, 0.005051, 0.005051, 0.005051, 0.005051, 0.430077]"
FB0041,2026-04-21T00:23:25Z,USER137,H002,Somerset West,Cape Town,3,Application Performance,The interface becomes unresponsive after several alerts arrive which makes the service feel unreliable. Please improve loading speed and automatic reconnection.,Mobile Web,reviewed,mock,interface becomes unresponsive several alerts arrive makes service feel unreliable loading speed automatic reconnection,14,topic_8,0.968253,"[0.003968, 0.003968, 0.003969, 0.003968, 0.003968, 0.003968, 0.003968, 0.968253, 0.003968]"
FB0042,2026-04-21T11:27:53Z,USER103,H003,Bryanston,Gauteng,2,Community Chat,It is difficult to distinguish verified updates from general discussion when many residents post at the same time. Please add pinned messages for verified safety information.,Android,reviewed,mock,difficult distinguish verified updates general discussion many residents post time add pinned messages verified safety information,16,topic_2,0.704655,"[0.003472, 0.704655, 0.003473, 0.229081, 0.003472, 0.003472, 0.045429, 0.003472, 0.003473]"
FB0043,2026-04-21T12:25:56Z,USER125,H011,Waterkloof Ridge,Gauteng,2,Community Chat,It is difficult to distinguish verified updates from general discussion without requiring a separate messaging application. Verified security updates should be visually distinct. This area mainly receives home invasion warnings.,Android,reviewed,mock,difficult distinguish verified updates general discussion without requiring separate messaging application verified security updates visually distinct home invasion warnings,19,topic_2,0.801106,"[0.002925, 0.801106, 0.002925, 0.132358, 0.002924, 0.002925, 0.002924, 0.048988, 0.002925]"
FB0044,2026-04-21T13:02:38Z,USER082,H005,Sea Point,Cape Town,3,Application Performance,The application uses too much mobile data when loading message history which makes the service feel unreliable. Older messages should load only when requested.,iOS,resolved,mock,application uses much mobile data loading message history makes service feel unreliable older messages load requested,16,topic_4,0.707725,"[0.003472, 0.003473, 0.003472, 0.707725, 0.003472, 0.003472, 0.003472, 0.235827, 0.035615]"
FB0045,2026-04-22T01:40:18Z,USER162,H006,Cape Town City Centre,Cape Town,3,Incident Reporting,Adding a location while reporting was difficult on my phone during a stressful situation. A clear confirmation screen would make reporting easier.,Android,reviewed,mock,adding location reporting difficult phone stressful situation clear confirmation screen reporting easier,12,topic_4,0.587962,"[0.004631, 0.00463, 0.00463, 0.587962, 0.00463, 0.379627, 0.00463, 0.00463, 0.00463]"
FB0046,2026-04-22T03:50:11Z,USER086,H009,Fourways,Gauteng,2,Location Accuracy,The map placed the reported incident on the wrong street when accurate directions were particularly important. Allow reporters to adjust the pin before submitting. This area mainly receives vehicle theft warnings.,Mobile Web,reviewed,mock,map placed reported incident wrong street accurate directions particularly important allow reporters adjust pin submitting vehicle theft warnings,18,topic_6,0.849783,"[0.003087, 0.003087, 0.003087, 0.003087, 0.128608, 0.849783, 0.003087, 0.003086, 0.003087]"
FB0047,2026-04-22T13:29:51Z,USER153,H002,Somerset West,Cape Town,3,Application Performance,The page sometimes disconnects and takes too long to reconnect on a normal mobile connection. Older messages should load only when requested.,Android,reviewed,mock,page sometimes disconnects takes long reconnect normal mobile connection older messages load requested,13,topic_4,0.525815,"[0.004274, 0.004274, 0.004274, 0.525815, 0.004274, 0.004274, 0.042711, 0.004274, 0.405832]"
FB0048,2026-04-22T19:00:43Z,USER034,H007,Garsfontein,Gauteng,2,Incident Reporting,The reporting screen needs more incident categories despite having a stable internet connection. The form should require fewer actions for urgent reports.,iOS,new,mock,reporting screen needs incident categories despite stable internet connection form require fewer actions urgent reports,15,topic_1,0.969347,"[0.969347, 0.003832, 0.003832, 0.003833, 0.003832, 0.003832, 0.003831, 0.003831, 0.003832]"
FB0049,2026-04-22T21:45:06Z,USER130,H005,Sea Point,Cape Town,2,Safety Alerts,Several alerts appeared together instead of arriving in real time especially during evening hours. A delivery timestamp would help residents judge whether an alert is current.,iOS,resolved,mock,several alerts appeared together instead arriving real time especially evening hours delivery timestamp help residents judge whether alert current,19,topic_3,0.914596,"[0.064935, 0.002924, 0.914596, 0.002924, 0.002924, 0.002924, 0.002924, 0.002924, 0.002924]"
FB0050,2026-04-23T01:36:40Z,USER162,H014,Centurion Central,Gauteng,3,Location Accuracy,The location pin was too broad to identify the affected area and residents could not tell how close it was. Please improve address validation before publishing an incident. This area mainly receives vehicle theft warnings.,Android,new,mock,location pin broad identify affected residents tell close address validation publishing incident vehicle theft warnings,15,topic_6,0.541898,"[0.003832, 0.003832, 0.003832, 0.003832, 0.431279, 0.541898, 0.003832, 0.003831, 0.003832]"
FB0051,2026-04-23T22:16:15Z,USER123,H004,Newlands,Cape Town,5,Positive Experience,Community alerts made it easier to avoid an affected route without requiring technical knowledge. I would recommend this feature to other neighbourhood groups.,Web,reviewed,mock,community alerts made easier avoid affected route without requiring technical knowledge recommend feature neighbourhood groups,15,topic_5,0.406496,"[0.003704, 0.003705, 0.286994, 0.003705, 0.406496, 0.003704, 0.003704, 0.250365, 0.037624]"
FB0052,2026-04-24T16:28:49Z,USER039,H007,Garsfontein,Gauteng,3,Privacy and Trust,The application should explain how location information is stored especially in private neighbourhood groups. Please add a simple privacy notice near the submission form.,Android,resolved,mock,application explain location information stored especially private neighbourhood groups add simple privacy notice near submission form,16,topic_9,0.809225,"[0.003473, 0.003473, 0.166465, 0.003473, 0.003473, 0.003473, 0.003474, 0.003472, 0.809225]"
FB0053,2026-04-24T19:47:13Z,USER104,H007,Garsfontein,Gauteng,2,Application Performance,Messages occasionally appear only after I refresh the browser on a normal mobile connection. Please improve loading speed and automatic reconnection.,Web,reviewed,mock,messages occasionally appear refresh browser normal mobile connection loading speed automatic reconnection,12,topic_4,0.456360,"[0.00463, 0.00463, 0.00463, 0.45636, 0.00463, 0.04623, 0.046272, 0.427989, 0.00463]"
FB0054,2026-04-25T09:41:18Z,USER112,H013,Table View,Cape Town,4,Privacy and Trust,It is unclear how long submitted feedback and reports are retained to build trust among community members. Please add a simple privacy notice near the submission form. This area mainly receives home invasion warnings.,Mobile Web,reviewed,mock,unclear long submitted feedback reports retained build trust among community members add simple privacy notice near submission form home invasion warnings,21,topic_9,0.978834,"[0.002646, 0.002646, 0.002646, 0.002646, 0.002646, 0.002646, 0.002646, 0.002646, 0.978834]"
FB0055,2026-04-25T12:30:04Z,USER155,H012,Menlo Park,Gauteng,3,Privacy and Trust,It is unclear how long submitted feedback and reports are retained before users share sensitive safety information. Please add a simple privacy notice near the submission form.,iOS,reviewed,mock,unclear long submitted feedback reports retained users share sensitive safety information add simple privacy notice near submission form,18,topic_9,0.728572,"[0.003175, 0.003175, 0.003175, 0.003175, 0.003175, 0.003175, 0.249205, 0.003175, 0.728572]"
FB0056,2026-04-25T18:30:06Z,USER180,H008,Claremont,Cape Town,2,Community Chat,The chat helped residents share information about a recent concern when many residents post at the same time. Please add pinned messages for verified safety information.,Mobile Web,resolved,mock,chat helped residents share information recent concern many residents post time add pinned messages verified safety information,17,topic_2,0.376696,"[0.003268, 0.376696, 0.00327, 0.187534, 0.003268, 0.003268, 0.128838, 0.290589, 0.003269]"
FB0057,2026-04-27T14:11:17Z,USER121,H009,Fourways,Gauteng,2,Safety Alerts,I did not receive the warning until it was too late to be useful while people were still travelling home. A delivery timestamp would help residents judge whether an alert is current.,Android,resolved,mock,receive warning late useful people still travelling home delivery timestamp help residents judge whether alert current,16,topic_1,0.971322,"[0.971322, 0.003585, 0.003587, 0.003584, 0.003584, 0.003585, 0.003584, 0.003584, 0.003584]"
FB0058,2026-04-27T17:25:25Z,USER159,H006,Cape Town City Centre,Cape Town,4,Privacy and Trust,Residents need confidence that private group messages remain private before users share sensitive safety information. Please add a simple privacy notice near the submission form.,Android,reviewed,mock,residents need confidence private group messages remain private users share sensitive safety information add simple privacy notice near submission form,20,topic_9,0.727546,"[0.002778, 0.002779, 0.002778, 0.002778, 0.002778, 0.002778, 0.253008, 0.002778, 0.727546]"
FB0059,2026-04-27T23:07:43Z,USER058,H006,Cape Town City Centre,Cape Town,3,Incident Reporting,The reporting screen needs more incident categories during a stressful situation. A clear confirmation screen would make reporting easier.,Web,reviewed,mock,reporting screen needs incident categories stressful situation clear confirmation screen reporting easier,12,topic_4,0.510955,"[0.456635, 0.00463, 0.00463, 0.510955, 0.00463, 0.00463, 0.00463, 0.00463, 0.00463]"
FB0060,2026-04-28T01:07:48Z,USER099,H009,Fourways,Gauteng,4,Positive Experience,The incident report was simple to submit and appeared quickly without requiring technical knowledge. A weekly safety summary would make the service even more useful.,iOS,resolved,mock,incident report simple submit appeared quickly without requiring technical knowledge weekly safety summary service even useful,16,topic_5,0.372760,"[0.003473, 0.003473, 0.003473, 0.003472, 0.37276, 0.003473, 0.306783, 0.29962, 0.003473]"
FB0061,2026-04-28T13:30:31Z,USER114,H001,Rondebosch,Cape Town,1,Application Performance,The page sometimes disconnects and takes too long to reconnect on a normal mobile connection. A lightweight mobile mode would make the service more accessible. This area mainly receives home invasion warnings.,Mobile Web,reviewed,mock,page sometimes disconnects takes long reconnect normal mobile connection lightweight mobile mode service accessible home invasion warnings,17,topic_4,0.617818,"[0.003269, 0.003268, 0.003268, 0.617818, 0.003268, 0.003268, 0.03278, 0.003268, 0.329792]"
FB0062,2026-04-28T16:55:28Z,USER049,H010,Bedfordview,Gauteng,1,Application Performance,The page sometimes disconnects and takes too long to reconnect even though other websites work correctly. Please improve loading speed and automatic reconnection.,iOS,new,mock,page sometimes disconnects takes long reconnect even though websites work correctly loading speed automatic reconnection,15,topic_9,0.377567,"[0.003704, 0.003704, 0.003704, 0.369436, 0.003704, 0.003704, 0.003704, 0.230774, 0.377567]"
FB0063,2026-04-29T17:45:34Z,USER054,H008,Claremont,Cape Town,3,Application Performance,Messages occasionally appear only after I refresh the browser even though other websites work correctly. Please improve loading speed and automatic reconnection.,Android,new,mock,messages occasionally appear refresh browser even though websites work correctly loading speed automatic reconnection,14,topic_4,0.653407,"[0.003968, 0.003968, 0.003968, 0.653407, 0.003968, 0.003968, 0.003969, 0.318815, 0.003968]"
FB0064,2026-04-30T10:20:43Z,USER029,H001,Rondebosch,Cape Town,4,Community Chat,The chat helped residents share information about a recent concern without requiring a separate messaging application. Basic moderation and message reporting would improve the group.,Android,resolved,mock,chat helped residents share information recent concern without requiring separate messaging application basic moderation message reporting group,17,topic_2,0.603656,"[0.003268, 0.603656, 0.003269, 0.003268, 0.003268, 0.003268, 0.003269, 0.373465, 0.003268]"
FB0065,2026-05-01T12:48:39Z,USER179,H009,Fourways,Gauteng,2,Incident Reporting,The incident form takes too many steps to complete and I had to repeat the process. A clear confirmation screen would make reporting easier.,iOS,resolved,mock,incident form takes many steps complete repeat process clear confirmation screen reporting easier,13,topic_4,0.965807,"[0.004276, 0.004274, 0.004274, 0.965807, 0.004274, 0.004274, 0.004274, 0.004274, 0.004274]"
