feedback_id,submitted_at,user_id,hotspot_id,location,metro,rating,category,feedback_text,platform,status,source,cleaned_text,token_count
FB0011,2026-04-05T08:41:17Z,USER084,H012,Menlo Park,Gauteng,1,Location Accuracy,The street name and map marker did not match when accurate directions were particularly important. Allow reporters to adjust the pin before submitting.,Web,resolved,mock,street name map marker match accurate directions particularly important allow reporters adjust pin submitting,14
FB0012,2026-04-05T19:13:02Z,USER009,H005,Sea Point,Cape Town,2,Safety Alerts,The notification was delayed and lacked a clear incident time during a period of increased neighbourhood activity. A delivery timestamp would help residents judge whether an alert is current.,Mobile Web,resolved,mock,notification delayed lacked clear incident time period increased neighbourhood activity delivery timestamp help residents judge whether alert current,18
FB0013,2026-04-05T23:00:13Z,USER021,H001,Rondebosch,Cape Town,3,Application Performance,Messages occasionally appear only after I refresh the browser on a normal mobile connection. Older messages should load only when requested.,Mobile Web,reviewed,mock,messages occasionally appear refresh browser normal mobile connection older messages load requested,12
FB0014,2026-04-06T00:46:50Z,USER093,H002,Somerset West,Cape Town,1,Safety Alerts,Several alerts appeared together instead of arriving in real time when residents needed immediate information. A delivery timestamp would help residents judge whether an alert is current.,iOS,resolved,mock,several alerts appeared together instead arriving real time residents needed immediate information delivery timestamp help residents judge whether alert current,20
FB0015,2026-04-06T04:58:51Z,USER058,H004,Newlands,Cape Town,3,Application Performance,The application loads slowly when opening a busy community group during periods of heavy community activity. Please improve loading speed and automatic reconnection.,Web,resolved,mock,application loads slowly opening busy community group periods heavy community activity loading speed automatic reconnection,15
FB0016,2026-04-06T12:31:34Z,USER117,H011,Waterkloof Ridge,Gauteng,2,Location Accuracy,The street name and map marker did not match causing unnecessary concern in another neighbourhood. Showing both the street and nearest landmark would improve accuracy.,Android,reviewed,mock,street name map marker match causing unnecessary concern another neighbourhood showing street nearest landmark accuracy,15
FB0017,2026-04-06T20:28:07Z,USER161,H001,Rondebosch,Cape Town,4,Positive Experience,The location-based warnings are relevant and easy to understand and the information felt timely. Please continue improving the alert details.,iOS,resolved,mock,location based warnings relevant easy understand information felt timely continue improving alert details,13
FB0018,2026-04-07T00:05:58Z,USER009,H014,Centurion Central,Gauteng,4,Community Chat,The chat helped residents share information about a recent concern when many residents post at the same time. Verified security updates should be visually distinct. This area mainly receives vehicle theft warnings.,Mobile Web,resolved,mock,chat helped residents share information recent concern many residents post time verified security updates visually distinct vehicle theft warnings,19
FB0019,2026-04-07T02:53:13Z,USER104,H002,Somerset West,Cape Town,4,Positive Experience,The incident report was simple to submit and appeared quickly and the information felt timely. I would recommend this feature to other neighbourhood groups.,iOS,resolved,mock,incident report simple submit appeared quickly information felt timely recommend feature neighbourhood groups,13
FB0020,2026-04-07T17:08:20Z,USER089,H007,Garsfontein,Gauteng,2,Privacy and Trust,Residents need confidence that private group messages remain private to build trust among community members. Please add a simple privacy notice near the submission form.,Web,reviewed,mock,residents need confidence private group messages remain private build trust among community members add simple privacy notice near submission form,20
FB0021,2026-04-10T05:21:44Z,USER063,H001,Rondebosch,Cape Town,3,Privacy and Trust,I want clearer information about who can see my incident report to build trust among community members. Please add a simple privacy notice near the submission form.,iOS,new,mock,want clearer information see incident report build trust among community members add simple privacy notice near submission form,18
FB0022,2026-04-10T09:21:24Z,USER101,H012,Menlo Park,Gauteng,4,Community Chat,Messages are easy to send but the conversation becomes cluttered when many residents post at the same time. Verified security updates should be visually distinct.,Mobile Web,new,mock,messages easy send conversation becomes cluttered many residents post time verified security updates visually distinct,15
FB0023,2026-04-10T21:49:38Z,USER174,H011,Waterkloof Ridge,Gauteng,2,Application Performance,The interface becomes unresponsive after several alerts arrive which makes the service feel unreliable. A lightweight mobile mode would make the service more accessible.,iOS,reviewed,mock,interface becomes unresponsive several alerts arrive makes service feel unreliable lightweight mobile mode service accessible,15
FB0024,2026-04-11T10:09:19Z,USER032,H010,Bedfordview,Gauteng,5,Positive Experience,Community alerts made it easier to avoid an affected route and the information felt timely. I would recommend this feature to other neighbourhood groups.,Android,new,mock,community alerts made easier avoid affected route information felt timely recommend feature neighbourhood groups,14
FB0025,2026-04-12T15:50:06Z,USER036,H009,Fourways,Gauteng,4,Positive Experience,The incident report was simple to submit and appeared quickly without requiring technical knowledge. I would recommend this feature to other neighbourhood groups.,Mobile Web,resolved,mock,incident report simple submit appeared quickly without requiring technical knowledge recommend feature neighbourhood groups,14
FB0026,2026-04-13T04:31:14Z,USER175,H001,Rondebosch,Cape Town,2,Location Accuracy,The location pin was too broad to identify the affected area which made the warning confusing. Allow reporters to adjust the pin before submitting.,iOS,reviewed,mock,location pin broad identify affected made warning confusing allow reporters adjust pin submitting,13
FB0027,2026-04-13T09:56:35Z,USER047,H003,Bryanston,Gauteng,3,Location Accuracy,The alert location was missing a useful landmark and residents could not tell how close it was. Allow reporters to adjust the pin before submitting.,Web,new,mock,alert location missing useful landmark residents tell close allow reporters adjust pin submitting,13
FB0028,2026-04-14T20:57:53Z,USER068,H010,Bedfordview,Gauteng,4,Privacy and Trust,I want clearer information about who can see my incident report because reports may contain personal details. Verified roles and clear retention rules would improve trust.,Android,resolved,mock,want clearer information see incident report reports may contain personal details verified roles clear retention rules trust,17
FB0029,2026-04-15T01:33:59Z,USER017,H003,Bryanston,Gauteng,1,Safety Alerts,Important warnings sometimes disappear without being opened during a period of increased neighbourhood activity. Please make urgent notifications faster and more reliable.,Android,reviewed,mock,important warnings sometimes disappear without opened period increased neighbourhood activity urgent notifications faster reliable,14
FB0030,2026-04-15T18:52:51Z,USER037,H003,Bryanston,Gauteng,3,Application Performance,Messages occasionally appear only after I refresh the browser which makes the service feel unreliable. Please improve loading speed and automatic reconnection. This area mainly receives home invasion warnings.,Android,new,mock,messages occasionally appear refresh browser makes service feel unreliable loading speed automatic reconnection home invasion warnings,16
FB0031,2026-04-16T03:59:31Z,USER070,H013,Table View,Cape Town,5,Positive Experience,The location-based warnings are relevant and easy to understand while keeping the community informed. A weekly safety summary would make the service even more useful. This area mainly receives home invasion warnings.,iOS,reviewed,mock,location based warnings relevant easy understand keeping community informed weekly safety summary service even useful home invasion warnings,18
FB0032,2026-04-17T17:18:28Z,USER036,H009,Fourways,Gauteng,2,Incident Reporting,The incident form takes too many steps to complete during a stressful situation. A clear confirmation screen would make reporting easier.,Web,resolved,mock,incident form takes many steps complete stressful situation clear confirmation screen reporting easier,13
FB0033,2026-04-17T17:40:15Z,USER133,H005,Sea Point,Cape Town,2,Privacy and Trust,The application should explain how location information is stored because reports may contain personal details. Please add a simple privacy notice near the submission form.,iOS,reviewed,mock,application explain location information stored reports may contain personal details add simple privacy notice near submission form,17
FB0034,2026-04-18T07:35:59Z,USER091,H014,Centurion Central,Gauteng,5,Positive Experience,The incident report was simple to submit and appeared quickly during a situation that could have caused confusion. Please continue improving the alert details. This area mainly receives vehicle theft warnings.,Mobile Web,new,mock,incident report simple submit appeared quickly situation caused confusion continue improving alert details vehicle theft warnings,16
FB0035,2026-04-18T07:37:30Z,USER067,H013,Table View,Cape Town,1,Safety Alerts,Important warnings sometimes disappear without being opened during a period of increased neighbourhood activity. Critical warnings should be prioritised over ordinary updates. This area mainly receives home invasion warnings.,Android,reviewed,mock,important warnings sometimes disappear without opened period increased neighbourhood activity critical warnings prioritised ordinary updates home invasion warnings,18
FB0036,2026-04-19T11:40:49Z,USER028,H012,Menlo Park,Gauteng,3,Application Performance,The page sometimes disconnects and takes too long to reconnect which makes the service feel unreliable. Please improve loading speed and automatic reconnection.,Web,reviewed,mock,page sometimes disconnects takes long reconnect makes service feel unreliable loading speed automatic reconnection,14
FB0037,2026-04-19T18:19:50Z,USER055,H004,Newlands,Cape Town,2,Location Accuracy,The street name and map marker did not match which made the warning confusing. Allow reporters to adjust the pin before submitting. This area mainly receives home invasion warnings.,Android,resolved,mock,street name map marker match made warning confusing allow reporters adjust pin submitting home invasion warnings,16
FB0038,2026-04-19T21:32:47Z,USER083,H008,Claremont,Cape Town,3,Incident Reporting,The reporting screen needs more incident categories during a stressful situation. Please save unfinished reports automatically. This area mainly receives home invasion warnings.,Android,resolved,mock,reporting screen needs incident categories stressful situation save unfinished reports automatically home invasion warnings,14
FB0039,2026-04-20T05:18:37Z,USER040,H005,Sea Point,Cape Town,2,Privacy and Trust,Residents need confidence that private group messages remain private especially in private neighbourhood groups. Please add a simple privacy notice near the submission form. This area mainly receives vehicle theft warnings.,Mobile Web,reviewed,mock,residents need confidence private group messages remain private especially private neighbourhood groups add simple privacy notice near submission form vehicle theft warnings,22
FB0040,2026-04-20T15:51:58Z,USER079,H013,Table View,Cape Town,2,Incident Reporting,The form cleared my description before the report was sent during a stressful situation. Please save unfinished reports automatically.,Mobile Web,reviewed,mock,form cleared description report sent stressful situation save unfinished reports automatically,11
FB0041,2026-04-21T00:23:25Z,USER137,H002,Somerset West,Cape Town,3,Application Performance,The interface becomes unresponsive after several alerts arrive which makes the service feel unreliable. Please improve loading speed and automatic reconnection.,Mobile Web,reviewed,mock,interface becomes unresponsive several alerts arrive makes service feel unreliable loading speed automatic reconnection,14
FB0042,2026-04-21T11:27:53Z,USER103,H003,Bryanston,Gauteng,2,Community Chat,It is difficult to distinguish verified updates from general discussion when many residents post at the same time. Please add pinned messages for verified safety information.,Android,reviewed,mock,difficult distinguish verified updates general discussion many residents post time add pinned messages verified safety information,16
FB0043,2026-04-21T12:25:56Z,USER125,H011,Waterkloof Ridge,Gauteng,2,Community Chat,It is difficult to distinguish verified updates from general discussion without requiring a separate messaging application. Verified security updates should be visually distinct. This area mainly receives home invasion warnings.,Android,reviewed,mock,difficult distinguish verified updates general discussion without requiring separate messaging application verified security updates visually distinct home invasion warnings,19
FB0044,2026-04-21T13:02:38Z,USER082,H005,Sea Point,Cape Town,3,Application Performance,The application uses too much mobile data when loading message history which makes the service feel unreliable. Older messages should load only when requested.,iOS,resolved,mock,application uses much mobile data loading message history makes service feel unreliable older messages load requested,16
FB0045,2026-04-22T01:40:18Z,USER162,H006,Cape Town City Centre,Cape Town,3,Incident Reporting,Adding a location while reporting was difficult on my phone during a stressful situation. A clear confirmation screen would make reporting easier.,Android,reviewed,mock,adding location reporting difficult phone stressful situation clear confirmation screen reporting easier,12
FB0046,2026-04-22T03:50:11Z,USER086,H009,Fourways,Gauteng,2,Location Accuracy,The map placed the reported incident on the wrong street when accurate directions were particularly important. Allow reporters to adjust the pin before submitting. This area mainly receives vehicle theft warnings.,Mobile Web,reviewed,mock,map placed reported incident wrong street accurate directions particularly important allow reporters adjust pin submitting vehicle theft warnings,18
FB0047,2026-04-22T13:29:51Z,USER153,H002,Somerset West,Cape Town,3,Application Performance,The page sometimes disconnects and takes too long to reconnect on a normal mobile connection. Older messages should load only when requested.,Android,reviewed,mock,page sometimes disconnects takes long reconnect normal mobile connection older messages load requested,13
FB0048,2026-04-22T19:00:43Z,USER034,H007,Garsfontein,Gauteng,2,Incident Reporting,The reporting screen needs more incident categories despite having a stable internet connection. The form should require fewer actions for urgent reports.,iOS,new,mock,reporting screen needs incident categories despite stable internet connection form require fewer actions urgent reports,15
FB0049,2026-04-22T21:45:06Z,USER130,H005,Sea Point,Cape Town,2,Safety Alerts,Several alerts appeared together instead of arriving in real time especially during evening hours. A delivery timestamp would help residents judge whether an alert is current.,iOS,resolved,mock,several alerts appeared together instead arriving real time especially evening hours delivery timestamp help residents judge whether alert current,19
FB0050,2026-04-23T01:36:40Z,USER162,H014,Centurion Central,Gauteng,3,Location Accuracy,The location pin was too broad to identify the affected area and residents could not tell how close it was. Please improve address validation before publishing an incident. This area mainly receives vehicle theft warnings.,Android,new,mock,location pin broad identify affected residents tell close address validation publishing incident vehicle theft warnings,15
FB0051,2026-04-23T22:16:15Z,USER123,H004,Newlands,Cape Town,5,Positive Experience,Community alerts made it easier to avoid an affected route without requiring technical knowledge. I would recommend this feature to other neighbourhood groups.,Web,reviewed,mock,community alerts made easier avoid affected route without requiring technical knowledge recommend feature neighbourhood groups,15
FB0052,2026-04-24T16:28:49Z,USER039,H007,Garsfontein,Gauteng,3,Privacy and Trust,The application should explain how location information is stored especially in private neighbourhood groups. Please add a simple privacy notice near the submission form.,Android,resolved,mock,application explain location information stored especially private neighbourhood groups add simple privacy notice near submission form,16
FB0053,2026-04-24T19:47:13Z,USER104,H007,Garsfontein,Gauteng,2,Application Performance,Messages occasionally appear only after I refresh the browser on a normal mobile connection. Please improve loading speed and automatic reconnection.,Web,reviewed,mock,messages occasionally appear refresh browser normal mobile connection loading speed automatic reconnection,12
FB0054,2026-04-25T09:41:18Z,USER112,H013,Table View,Cape Town,4,Privacy and Trust,It is unclear how long submitted feedback and reports are retained to build trust among community members. Please add a simple privacy notice near the submission form. This area mainly receives home invasion warnings.,Mobile Web,reviewed,mock,unclear long submitted feedback reports retained build trust among community members add simple privacy notice near submission form home invasion warnings,21
FB0055,2026-04-25T12:30:04Z,USER155,H012,Menlo Park,Gauteng,3,Privacy and Trust,It is unclear how long submitted feedback and reports are retained before users share sensitive safety information. Please add a simple privacy notice near the submission form.,iOS,reviewed,mock,unclear long submitted feedback reports retained users share sensitive safety information add simple privacy notice near submission form,18
FB0056,2026-04-25T18:30:06Z,USER180,H008,Claremont,Cape Town,2,Community Chat,The chat helped residents share information about a recent concern when many residents post at the same time. Please add pinned messages for verified safety information.,Mobile Web,resolved,mock,chat helped residents share information recent concern many residents post time add pinned messages verified safety information,17
FB0057,2026-04-27T14:11:17Z,USER121,H009,Fourways,Gauteng,2,Safety Alerts,I did not receive the warning until it was too late to be useful while people were still travelling home. A delivery timestamp would help residents judge whether an alert is current.,Android,resolved,mock,receive warning late useful people still travelling home delivery timestamp help residents judge whether alert current,16
FB0058,2026-04-27T17:25:25Z,USER159,H006,Cape Town City Centre,Cape Town,4,Privacy and Trust,Residents need confidence that private group messages remain private before users share sensitive safety information. Please add a simple privacy notice near the submission form.,Android,reviewed,mock,residents need confidence private group messages remain private users share sensitive safety information add simple privacy notice near submission form,20
FB0059,2026-04-27T23:07:43Z,USER058,H006,Cape Town City Centre,Cape Town,3,Incident Reporting,The reporting screen needs more incident categories during a stressful situation. A clear confirmation screen would make reporting easier.,Web,reviewed,mock,reporting screen needs incident categories stressful situation clear confirmation screen reporting easier,12
FB0060,2026-04-28T01:07:48Z,USER099,H009,Fourways,Gauteng,4,Positive Experience,The incident report was simple to submit and appeared quickly without requiring technical knowledge. A weekly safety summary would make the service even more useful.,iOS,resolved,mock,incident report simple submit appeared quickly without requiring technical knowledge weekly safety summary service even useful,16
FB0061,2026-04-28T13:30:31Z,USER114,H001,Rondebosch,Cape Town,1,Application Performance,The page sometimes disconnects and takes too long to reconnect on a normal mobile connection. A lightweight mobile mode would make the service more accessible. This area mainly receives home invasion warnings.,Mobile Web,reviewed,mock,page sometimes disconnects takes long reconnect normal mobile connection lightweight mobile mode service accessible home invasion warnings,17
FB0062,2026-04-28T16:55:28Z,USER049,H010,Bedfordview,Gauteng,1,Application Performance,The page sometimes disconnects and takes too long to reconnect even though other websites work correctly. Please improve loading speed and automatic reconnection.,iOS,new,mock,page sometimes disconnects takes long reconnect even though websites work correctly loading speed automatic reconnection,15
FB0063,2026-04-29T17:45:34Z,USER054,H008,Claremont,Cape Town,3,Application Performance,Messages occasionally appear only after I refresh the browser even though other websites work correctly. Please improve loading speed and automatic reconnection.,Android,new,mock,messages occasionally appear refresh browser even though websites work correctly loading speed automatic reconnection,14
FB0064,2026-04-30T10:20:43Z,USER029,H001,Rondebosch,Cape Town,4,Community Chat,The chat helped residents share information about a recent concern without requiring a separate messaging application. Basic moderation and message reporting would improve the group.,Android,resolved,mock,chat helped residents share information recent concern without requiring separate messaging application basic moderation message reporting group,17
FB0065,2026-05-01T12:48:39Z,USER179,H009,Fourways,Gauteng,2,Incident Reporting,The incident form takes too many steps to complete and I had to repeat the process. A clear confirmation screen would make reporting easier.,iOS,resolved,mock,incident form takes many steps complete repeat process clear confirmation screen reporting easier,13
FB0066,2026-05-01T16:31:40Z,USER017,H010,Bedfordview,Gauteng,3,Application Performance,The application uses too much mobile data when loading message history on a normal mobile connection. Older messages should load only when requested. This area mainly receives home invasion warnings.,iOS,reviewed,mock,application uses much mobile data loading message history normal mobile connection older messages load requested home invasion warnings,18
FB0067,2026-05-01T19:50:02Z,USER094,H008,Claremont,Cape Town,3,Privacy and Trust,Residents need confidence that private group messages remain private because reports may contain personal details. Please add a simple privacy notice near the submission form. This area mainly receives home invasion warnings.,Web,reviewed,mock,residents need confidence private group messages remain private reports may contain personal details add simple privacy notice near submission form home invasion warnings,23
FB0068,2026-05-01T19:53:47Z,USER160,H007,Garsfontein,Gauteng,3,Incident Reporting,The reporting screen needs more incident categories during a stressful situation. The form should require fewer actions for urgent reports.,Android,reviewed,mock,reporting screen needs incident categories stressful situation form require fewer actions urgent reports,13
FB0069,2026-05-02T13:52:06Z,USER133,H014,Centurion Central,Gauteng,2,Location Accuracy,The location pin was too broad to identify the affected area and residents could not tell how close it was. Please improve address validation before publishing an incident.,iOS,reviewed,mock,location pin broad identify affected residents tell close address validation publishing incident,12
FB0070,2026-05-02T16:54:47Z,USER007,H013,Table View,Cape Town,4,Community Chat,Messages are easy to send but the conversation becomes cluttered and a pinned update feature would help. Please add pinned messages for verified safety information.,Mobile Web,reviewed,mock,messages easy send conversation becomes cluttered pinned update feature help add pinned messages verified safety information,16
FB0071,2026-05-02T23:29:12Z,USER124,H005,Sea Point,Cape Town,2,Incident Reporting,The form cleared my description before the report was sent during a stressful situation. The form should require fewer actions for urgent reports. This area mainly receives vehicle theft warnings.,Web,resolved,mock,form cleared description report sent stressful situation form require fewer actions urgent reports vehicle theft warnings,16
FB0072,2026-05-03T01:30:14Z,USER092,H009,Fourways,Gauteng,3,Community Chat,The community chat is useful but important messages get buried without requiring a separate messaging application. Basic moderation and message reporting would improve the group.,Web,new,mock,community chat useful important messages get buried without requiring separate messaging application basic moderation message reporting group,17
FB0073,2026-05-03T13:39:53Z,USER076,H012,Menlo Park,Gauteng,5,Positive Experience,The service helped me understand recent safety activity nearby while keeping the community informed. Please continue improving the alert details.,Mobile Web,reviewed,mock,service helped understand recent safety activity nearby keeping community informed continue improving alert details,14
FB0074,2026-05-05T06:57:10Z,USER096,H004,Newlands,Cape Town,2,Incident Reporting,The incident form takes too many steps to complete despite having a stable internet connection. A clear confirmation screen would make reporting easier.,Mobile Web,reviewed,mock,incident form takes many steps complete despite stable internet connection clear confirmation screen reporting easier,15
FB0075,2026-05-05T16:05:34Z,USER013,H008,Claremont,Cape Town,4,Community Chat,It is difficult to distinguish verified updates from general discussion and a pinned update feature would help. Basic moderation and message reporting would improve the group.,iOS,resolved,mock,difficult distinguish verified updates general discussion pinned update feature help basic moderation message reporting group,15
FB0076,2026-05-05T20:09:55Z,USER158,H009,Fourways,Gauteng,3,Community Chat,It is difficult to distinguish verified updates from general discussion without requiring a separate messaging application. Please add pinned messages for verified safety information. This area mainly receives vehicle theft warnings.,iOS,reviewed,mock,difficult distinguish verified updates general discussion without requiring separate messaging application add pinned messages verified safety information vehicle theft warnings,20
FB0077,2026-05-06T04:27:32Z,USER063,H009,Fourways,Gauteng,2,Privacy and Trust,The application should explain how location information is stored to build trust among community members. Users should be able to remove their own stored information.,Android,new,mock,application explain location information stored build trust among community members users able remove stored information,15
FB0078,2026-05-06T06:00:34Z,USER097,H010,Bedfordview,Gauteng,4,Positive Experience,The location-based warnings are relevant and easy to understand without requiring technical knowledge. Please continue improving the alert details.,iOS,reviewed,mock,location based warnings relevant easy understand without requiring technical knowledge continue improving alert details,14
FB0079,2026-05-06T07:50:19Z,USER058,H003,Bryanston,Gauteng,4,Positive Experience,Community alerts made it easier to avoid an affected route without requiring technical knowledge. I would recommend this feature to other neighbourhood groups. This area mainly receives home invasion warnings.,Mobile Web,new,mock,community alerts made easier avoid affected route without requiring technical knowledge recommend feature neighbourhood groups home invasion warnings,18
FB0080,2026-05-06T20:19:44Z,USER140,H011,Waterkloof Ridge,Gauteng,3,Application Performance,Messages occasionally appear only after I refresh the browser even though other websites work correctly. A lightweight mobile mode would make the service more accessible. This area mainly receives home invasion warnings.,Web,resolved,mock,messages occasionally appear refresh browser even though websites work correctly lightweight mobile mode service accessible home invasion warnings,18
FB0081,2026-05-07T13:55:22Z,USER138,H006,Cape Town City Centre,Cape Town,5,Positive Experience,The incident report was simple to submit and appeared quickly during a situation that could have caused confusion. I would recommend this feature to other neighbourhood groups.,iOS,reviewed,mock,incident report simple submit appeared quickly situation caused confusion recommend feature neighbourhood groups,13
FB0082,2026-05-07T14:20:44Z,USER037,H004,Newlands,Cape Town,1,Safety Alerts,The notification was delayed and lacked a clear incident time when residents needed immediate information. Critical warnings should be prioritised over ordinary updates.,iOS,reviewed,mock,notification delayed lacked clear incident time residents needed immediate information critical warnings prioritised ordinary updates,15
FB0083,2026-05-07T19:17:28Z,USER132,H011,Waterkloof Ridge,Gauteng,2,Location Accuracy,The alert location was missing a useful landmark when accurate directions were particularly important. Please improve address validation before publishing an incident.,Web,new,mock,alert location missing useful landmark accurate directions particularly important address validation publishing incident,13
FB0084,2026-05-07T19:39:31Z,USER123,H005,Sea Point,Cape Town,3,Incident Reporting,The form cleared my description before the report was sent when I needed to submit details quickly. Please save unfinished reports automatically.,iOS,reviewed,mock,form cleared description report sent needed submit details quickly save unfinished reports automatically,13
FB0085,2026-05-07T21:03:00Z,USER109,H012,Menlo Park,Gauteng,2,Safety Alerts,Several alerts appeared together instead of arriving in real time while people were still travelling home. A delivery timestamp would help residents judge whether an alert is current.,iOS,resolved,mock,several alerts appeared together instead arriving real time people still travelling home delivery timestamp help residents judge whether alert current,20
FB0086,2026-05-07T21:21:41Z,USER038,H012,Menlo Park,Gauteng,4,Privacy and Trust,The application should explain how location information is stored before users share sensitive safety information. Verified roles and clear retention rules would improve trust. This area mainly receives vehicle theft warnings.,iOS,resolved,mock,application explain location information stored users share sensitive safety information verified roles clear retention rules trust vehicle theft warnings,19
FB0087,2026-05-08T04:09:51Z,USER085,H008,Claremont,Cape Town,2,Location Accuracy,A nearby incident was assigned to the wrong community and residents could not tell how close it was. Allow reporters to adjust the pin before submitting.,Android,resolved,mock,nearby incident assigned wrong community residents tell close allow reporters adjust pin submitting,13
FB0088,2026-05-08T06:11:00Z,USER085,H005,Sea Point,Cape Town,2,Incident Reporting,The form cleared my description before the report was sent and I had to repeat the process. Please save unfinished reports automatically.,Web,reviewed,mock,form cleared description report sent repeat process save unfinished reports automatically,11
FB0089,2026-05-08T18:16:42Z,USER150,H008,Claremont,Cape Town,4,Community Chat,The private group feature makes neighbourhood coordination easier although moderation controls are still needed. Basic moderation and message reporting would improve the group.,Mobile Web,reviewed,mock,private group feature makes neighbourhood coordination easier although moderation controls still needed basic moderation message reporting group,17
FB0090,2026-05-08T18:56:06Z,USER138,H002,Somerset West,Cape Town,3,Incident Reporting,The form cleared my description before the report was sent despite having a stable internet connection. A clear confirmation screen would make reporting easier.,iOS,resolved,mock,form cleared description report sent despite stable internet connection clear confirmation screen reporting easier,14
FB0091,2026-05-09T12:35:09Z,USER006,H002,Somerset West,Cape Town,3,Application Performance,The application uses too much mobile data when loading message history on a normal mobile connection. Older messages should load only when requested.,Android,new,mock,application uses much mobile data loading message history normal mobile connection older messages load requested,15
FB0092,2026-05-09T20:38:46Z,USER143,H005,Sea Point,Cape Town,5,Positive Experience,The location-based warnings are relevant and easy to understand while keeping the community informed. Please continue improving the alert details.,Mobile Web,resolved,mock,location based warnings relevant easy understand keeping community informed continue improving alert details,13
FB0093,2026-05-09T23:32:12Z,USER154,H011,Waterkloof Ridge,Gauteng,4,Privacy and Trust,It is unclear how long submitted feedback and reports are retained to build trust among community members. Please add a simple privacy notice near the submission form.,Android,reviewed,mock,unclear long submitted feedback reports retained build trust among community members add simple privacy notice near submission form,18
FB0094,2026-05-10T13:23:18Z,USER124,H003,Bryanston,Gauteng,3,Location Accuracy,The map placed the reported incident on the wrong street and residents could not tell how close it was. Please improve address validation before publishing an incident.,Mobile Web,new,mock,map placed reported incident wrong street residents tell close address validation publishing incident,13
FB0095,2026-05-11T08:01:12Z,USER171,H004,Newlands,Cape Town,3,Community Chat,The private group feature makes neighbourhood coordination easier without requiring a separate messaging application. Basic moderation and message reporting would improve the group.,Mobile Web,reviewed,mock,private group feature makes neighbourhood coordination easier without requiring separate messaging application basic moderation message reporting group,17
FB0096,2026-05-11T09:50:16Z,USER053,H014,Centurion Central,Gauteng,2,Application Performance,The page sometimes disconnects and takes too long to reconnect even though other websites work correctly. A lightweight mobile mode would make the service more accessible. This area mainly receives vehicle theft warnings.,Android,reviewed,mock,page sometimes disconnects takes long reconnect even though websites work correctly lightweight mobile mode service accessible vehicle theft warnings,19
